utterance,category,intent
can you tell me where I can check my order?,ORDER,track_order
"please, ask alexa if i could speak with a person",CONTACT,contact_human_agent
show me the mail address of Customer Service,CONTACT,contact_customer_service
"I want to check my shipments, can you tell me how I can do it?",ORDER,track_order
can u ask alexa how to view their refund policy?,REFUNDS,check_refund_policy
can you tell me where I can track my shipments?,ORDER,track_order
I want to notigy problems paying,PAYMENT,payment_issue
"I got an error when I attempted to make a payment, but my card was charged anyway, what should I do to report it?",PAYMENT,payment_issue
"can you ask Alexa if I can cancel my online account, please?",ACCOUNT,delete_account
I've got no profile and I want to create one,ACCOUNT,create_account
"a error pops when I try to pay for my online order, what should I do?",PAYMENT,payment_issue
"I want an online account, could you help me?",ACCOUNT,create_account
ask alexa if i can notify an issue making a payment,PAYMENT,payment_issue
"can u ask alexa how i could notify a payment problem, please?",PAYMENT,payment_issue
"I got an error when I attempted to pay, but I was charged anyway, I need help notifying it",PAYMENT,payment_issue
I made a mistake asnd I'd like to change my order,ORDER,change_order
can I get the tracking no for my package?,ORDER,track_order
I want to notify a problem with my payment,PAYMENT,payment_issue
"I need information, what should I do to contact Client Service?",CONTACT,contact_customer_service
"the event was cancelled, how can i get a refund?",REFUNDS,get_refund
"im discontent with  the service, i need help making a complaint",FEEDBACK,complaint
i want to know if i can tegister more than one online account with the same email,ACCOUNT,create_account
I need informationand I want to talk to Client Service,CONTACT,contact_customer_service
"I want information, what should I do to talk to Customer Support?",CONTACT,contact_customer_service
i need help recovering my account password,ACCOUNT,recover_password
"I want to remove my user account, how can I do it?",ACCOUNT,delete_account
I want to know how I can track my orders,ORDER,track_order
where can I view the delivery options?,DELIVERY,delivery_options
I need information about your payment option,PAYMENT,check_payment_methods
"I want to use my other user account, what do I have to do to change them?",ACCOUNT,switch_account
where to check my packages,ORDER,track_order
"please, ask alexa when I will get a reimbursement",REFUNDS,get_refund
I need help writing a comment,FEEDBACK,review
ask alexa how i can solve an issue with my payment,PAYMENT,payment_issue
i want to see the email address of client service,CONTACT,contact_customer_service
"i ordered a product, i nede help modifying my order",ORDER,change_order
where to change my order,ORDER,change_order
can you ask Alexa how to know where my fucking shipment is?,ORDER,track_order
the game was cancelled and i wanna request a refund,REFUNDS,get_refund
can I inform of a payment issue?,PAYMENT,payment_issue
"u are not helping, what do i have to dp to speak with a person?",CONTACT,contact_human_agent
can u ask alexa how to report an issue with my payment?,PAYMENT,payment_issue
"I want to inform of an issue paying, what can I do?",PAYMENT,payment_issue
could you track my package?,ORDER,track_order
"my account was hacked, can you recover it?",ACCOUNT,recover_password
"you aren't helping, how can I contact a human agent?",CONTACT,contact_human_agent
"i have a problem when trying to make a payment with card, could u inform of it , please?",PAYMENT,payment_issue
"I want a refund, what should I do?",REFUNDS,get_refund
"please, can you tell me how I could track my order?",ORDER,track_order
"I don't want my profile, help me remove it",ACCOUNT,delete_account
"I don't understand you, contact a human",CONTACT,contact_human_agent
"I purchased something, can i modify my purchase?",ORDER,change_order
"i got an error when i attempted to pay , but my card was charged anyway",PAYMENT,payment_issue
"i wanna lodge a consumer complaint for a service, what should i do?",FEEDBACK,complaint
"I want to check the ticket delivery options, what do I have to do?",DELIVERY,delivery_options
"I have an issue paying with card, can you notify it, please?",PAYMENT,payment_issue
"I want to submita comment, what do I have to do?",FEEDBACK,review
information about the delivery period formy tickets,DELIVERY,delivery_period
"i lost my password, how do i recover it?",ACCOUNT,recover_password
"i dont have a profile, what do i have to do?",ACCOUNT,create_account
"I want to see an invoice, can you tell me where to do it?",INVOICES,get_invoice
help me make a complaint,FEEDBACK,complaint
"i cant understand you, can u contact a human?",CONTACT,contact_human_agent
I have a problem when  trying to make a payment,PAYMENT,payment_issue
can you show me the free number to contact Customer Service?,CONTACT,contact_customer_service
i wanna know what the free number of client service is,CONTACT,contact_customer_service
"I wanna check my deliveries, can you etll me were I can do it?",ORDER,track_order
where do I leave an opinion?,FEEDBACK,review
"the event was postponed, what should I do to request a refund?",REFUNDS,get_refund
the payment failed,PAYMENT,payment_issue
"i have a problem when trying to make a payment, what do i have to do to notify it?",PAYMENT,payment_issue
"id like to view the delivery options, what should i do, please?",DELIVERY,delivery_options
can you find information about the mail address of the Customer Support?,CONTACT,contact_customer_service
is there a newsletter to keep me p-to-date?,NEWSLETTER,newsletter_subscription
"ask alexa to speak with customer support,please",CONTACT,contact_customer_service
show me the number to contact client service,CONTACT,contact_customer_service
"I got an error when I tried to make a payment, but my card was charged anyway, can I report it?",PAYMENT,payment_issue
"i got an error message when i attempted to pay, but i was charged anyway and i want to report it",PAYMENT,payment_issue
where do I file a complaint for a service?,FEEDBACK,complaint
"i got an error when i attempted to pay, but i  was charged anyway and i wanna report it",PAYMENT,payment_issue
help me lodge a complaint,FEEDBACK,complaint
"I purchased a product, can I modify my order?",ORDER,change_order
were do I view the status of my order?,ORDER,track_order
"i'd like to request a bill, can you tell me where to do it?",INVOICES,get_invoice
what payment methods do you accept?,PAYMENT,check_payment_methods
can you tell me if you have a newsletter to stay informed?,NEWSLETTER,newsletter_subscription
"I got an error when I attempted to make a payment, but my card was charged anyway and I want to inform of it",PAYMENT,payment_issue
"im happy with the service , lodge a comment",FEEDBACK,review
"can you ask Alexa to check their fucking payment options, please?",PAYMENT,check_payment_methods
"i want to check my delivery, tell me how I can do it",ORDER,track_order
help me delete my online account,ACCOUNT,delete_account
"I'm not happy with the service, how can I make a consumer complaint?",FEEDBACK,complaint
how could i notify issues paying?,PAYMENT,payment_issue
i wanna see the mail address of client service,CONTACT,contact_customer_service
I want to know how to receive the newsletter,NEWSLETTER,newsletter_subscription
"I get an error when I attempt to make a payment, what should I do?",PAYMENT,payment_issue
tell me how I can obtain an invoice,INVOICES,get_invoice
"i want to open an online account, can u help me?",ACCOUNT,create_account
"I forgot my password, can you reset it?",ACCOUNT,recover_password
can you ask Alexa how I can report fucking issues with my payment?,PAYMENT,payment_issue
"the event was cancelled, can i get a refund?",REFUNDS,get_refund
where can I cancel my account?,ACCOUNT,delete_account
"please, i wanna get information about subscribing to the fucking newsletter",NEWSLETTER,newsletter_subscription
"I want to check my orders, tell me where I can do it",ORDER,track_order
"i cant remember my account password, what do i have to do to retrieve it?",ACCOUNT,recover_password
"I want to obtain some fucking invoices, could you tell me how I can do it?",INVOICES,get_invoice
tell me if I can check my package,ORDER,track_order
"you arent helping, can u speak with someone, please?",CONTACT,contact_human_agent
"i'd like to see an invoice, can you tell me where I can do it, please?",INVOICES,get_invoice
whats the fucking mail address to contact customer service?,CONTACT,contact_customer_service
"I want a reimbursement, what can I do to get one ?",REFUNDS,get_refund
can I track my package?,ORDER,track_order
I want to know how to download an invoice,INVOICES,get_invoice
"I changed my mind, can I close my account?",ACCOUNT,delete_account
ask alexa how i can reset my fucking account password,ACCOUNT,recover_password
"I need information, what should I do to call Customer Support?",CONTACT,contact_customer_service
"my user account's been hacked, help me recover it",ACCOUNT,recover_password
where can i inform of a problem with my payment?,PAYMENT,payment_issue
can you give me information about your reimbursement policy?,REFUNDS,check_refund_policy
"could u ask alexa where i can close my profile, please?",ACCOUNT,delete_account
 need ehlp modifying my profile,ACCOUNT,edit_account
help me report problems with my payment,PAYMENT,payment_issue
"an error pops when I attempt to make a payment for my order, what should I do?",PAYMENT,payment_issue
what can you tell me about modifying my order?,ORDER,change_order
could u ask alexa where to report a problem paying?,PAYMENT,payment_issue
"I haven't got a user account, what should I do to create one?",ACCOUNT,create_account
"I have an issue when trying to pay, what do I have to do?",PAYMENT,payment_issue
"my online account's been hacked, and I need help recovering it",ACCOUNT,recover_password
can u show me information about your payment methods?,PAYMENT,check_payment_methods
"the game was postponed, how can I get a refund?",REFUNDS,get_refund
what information can u tell me about getting a bill?,INVOICES,get_invoice
"I have a problem when trying to make a payment with card, what can I do to inform of it?",PAYMENT,payment_issue
"the fucking event was cancelled, can u help me?",REFUNDS,get_refund
can you tell me about the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
I need help changing my profile,ACCOUNT,edit_account
"I don't have an account, help me open one",ACCOUNT,create_account
"you aren't helping, what should I do to contact someone?",CONTACT,contact_human_agent
tell me if my package is on its way,ORDER,track_order
i wanna see the mail address of the Customer Support,CONTACT,contact_customer_service
show me the email of the Customer Service,CONTACT,contact_customer_service
"I got an error message when I tried to pay, but I was charged anyway, can you notify it?",PAYMENT,payment_issue
"I don't want my profile, remove it",ACCOUNT,delete_account
terll me if I could request an invice,INVOICES,get_invoice
"please, could you ask Alexa what my packages of my fucking orders is?",ORDER,track_order
"could you ask Alexa where to see the fucking cancellation penalties, please?",CANCELLATION_FEE,check_cancellation_fee
can you tell me if i can create two fucking online accounts with the same email address?,ACCOUNT,create_account
I want to know how long it takes for tickets to arrive,DELIVERY,delivery_period
"I gt an error message when I tried to pay, but my card was charged anyway, can you notify it?",PAYMENT,payment_issue
"I wanna download an invoice, tell me where to do it",INVOICES,get_invoice
tell me how I can see a  bill,INVOICES,get_invoice
"I want na account, how can I create one?",ACCOUNT,create_account
could you ask Alexa to solve a problem paying?,PAYMENT,payment_issue
"I purchased a product, can I change my order?",ORDER,change_order
can u ask alexa where I can obtain an invoice?,INVOICES,get_invoice
"I have a question, what do I have to do to call Client Service?",CONTACT,contact_customer_service
modkfy my order,ORDER,change_order
can u ask alexa whats the delivery period for my ticket?,DELIVERY,delivery_period
"I want to use my other user account, what can I do to change them?",ACCOUNT,switch_account
I want to know if I can create several accounts with a single email,ACCOUNT,create_account
"i need information, how could i contact customer service?",CONTACT,contact_customer_service
how soon can I expect my ticket?,DELIVERY,delivery_period
"i want to view your reimbursement policy, what should i do?",REFUNDS,check_refund_policy
can you download an invoice?,INVOICES,get_invoice
ask alexa how i can inform of an issue making a payment,PAYMENT,payment_issue
I want to check your money bck policy,REFUNDS,check_refund_policy
can u ask alexa where i can view the status of my reimbursement?,REFUNDS,track_refund
"my account was hacked, can you help me?",ACCOUNT,recover_password
can u ask Alexa for information about subscribing to the newsletter?,NEWSLETTER,newsletter_subscription
could i own more than one user account?,ACCOUNT,create_account
"I have a question, can you speak with Customer Support?",CONTACT,contact_customer_service
"please, can you ask Alexa where I can see the status of my refund?",REFUNDS,track_refund
show me the options for delivery,DELIVERY,delivery_options
I need help checking the cancellation fees,CANCELLATION_FEE,check_cancellation_fee
I want to know where to check my package,ORDER,track_order
information about the cancellation penalty,CANCELLATION_FEE,check_cancellation_fee
"I got an error message when I tried to pay, but my card was charged anyway, what should I do?",PAYMENT,payment_issue
i cant understand you and i want to contact a person,CONTACT,contact_human_agent
"I got a error when I attempted to pay, but I was charged anyway, how can I inform of it?",PAYMENT,payment_issue
can u ask alexa to modify ther information on my profile?,ACCOUNT,edit_account
"you aren't helping, what should I do to speak with a person?",CONTACT,contact_human_agent
"I changed my mind, can you delete my online account?",ACCOUNT,delete_account
"I got an error when I tried to pay, but I was charged anyway, can I inform of it?",PAYMENT,payment_issue
where can I make changes to my shipping address?,SHIPPING,change_shipping_address
can you tell me if I can have several user accounts?,ACCOUNT,create_account
"the show was postponed, how do I request a reimbursement?",REFUNDS,get_refund
"i got an error message when i tried to make a payment, but i was charged anyway, how do i notify it?",PAYMENT,payment_issue
"I need an account, create one",ACCOUNT,create_account
"ask alexa where to report a problem paying, please",PAYMENT,payment_issue
"I want to remove my user account, where can I do it ?",ACCOUNT,delete_account
"can u ask alexa for information about the cancellation fees, please?",CANCELLATION_FEE,check_cancellation_fee
"I'm happy with the service, I need help lodging an opinion",FEEDBACK,review
"I changed my mind, what can I do to remove my user account?",ACCOUNT,delete_account
"I can't understand you, what do I have to do to contact a human agent?",CONTACT,contact_human_agent
"i didn't receive my invocies, could u check them?",INVOICES,check_invoices
"an error message pops when i try to pay for my order, can u help me?",PAYMENT,payment_issue
can you tell me about my bills?,INVOICES,check_invoices
I wanna know where to obtain an invoice,INVOICES,get_invoice
I changed my mind and I want to remove myonoine account,ACCOUNT,delete_account
tell me if I can register more than one account with a single email,ACCOUNT,create_account
can u ask alexa if i can talk to customer support?,CONTACT,contact_customer_service
"I got an error message when I attempted to pay, but my card was charged anyway, how do I inform of it?",PAYMENT,payment_issue
could you ask Alexa if I could check their fucking money back policy?,REFUNDS,check_refund_policy
how do I write a review for a service?,FEEDBACK,review
"I want to subscribe to the newsletter, can you give me some information?",NEWSLETTER,newsletter_subscription
"youre not helping, what should i do to talk to a human?",CONTACT,contact_human_agent
how do I write a review?,FEEDBACK,review
i wanna know what the number of client service is,CONTACT,contact_customer_service
"I bought a product, how do I change my order?",ORDER,change_order
my account was hacked and I want to recover it,ACCOUNT,recover_password
"i have an issue paying for my order, i need help informing of it",PAYMENT,payment_issue
"the game was cancelld, what can I do to obtain a refund?",REFUNDS,get_refund
ask alexa how i can retrieve my account password,ACCOUNT,recover_password
"my user account has been hacked, how do i get it back?",ACCOUNT,recover_password
what's the free number to contact Customer Support?,CONTACT,contact_customer_service
tell me if I can track my package,ORDER,track_order
I have no online account and I want to register,ACCOUNT,create_account
"could you ask Alexa about my fucking bill, please?",INVOICES,check_invoices
how to delete my account,ACCOUNT,delete_account
"I want to lodge a comment, can you help me?",FEEDBACK,review
"I have no user account, help me register",ACCOUNT,create_account
"I got an error when I attempted to make a payment, but I was charged anyway and I want to report it",PAYMENT,payment_issue
I want to know if I can register several user accounts with the same email,ACCOUNT,create_account
"I ordered something, what can I do to change my purchase?",ORDER,change_order
"I can't understand you, what should I do to contact a human agent?",CONTACT,contact_human_agent
"please, ask Alexa to find information about the cancellation penalty",CANCELLATION_FEE,check_cancellation_fee
how can I delete my profile?,ACCOUNT,delete_account
"I ordered an item, how do I change my order?",ORDER,change_order
how to report an issue with my payment,PAYMENT,payment_issue
"I have no account, can you register?",ACCOUNT,create_account
i cant remember my password and i wanna recover it,ACCOUNT,recover_password
I want to receive a refund,REFUNDS,get_refund
tell me what the mail to contact Customer Service is,CONTACT,contact_customer_service
how can i cancel my online account?,ACCOUNT,delete_account
I need information about downloading a bill,INVOICES,get_invoice
where can i notifypayment issues?,PAYMENT,payment_issue
"I got an error message when I attempted to make a payment, but my card was charged anyway, how can I report it?",PAYMENT,payment_issue
I need help checking my shipment,ORDER,track_order
"I have a problem paying for my order, what should I do to inform of it?",PAYMENT,payment_issue
i wanna know hhow to obtain some invoices,INVOICES,get_invoice
"I don't know anything about your money back policy, can you tell me about it, please?",REFUNDS,check_refund_policy
i wanna see the mail address of the Customer Service,CONTACT,contact_customer_service
"please, could you ask Alexa where I could view the status of my fucking purchase?",ORDER,track_order
ask Alexa if I could remove my user account,ACCOUNT,delete_account
I want to request information about downloading some invoices,INVOICES,get_invoice
tell me where I can obtain an invoice,INVOICES,get_invoice
"i wanna check your refund policy, what should i do?",REFUNDS,check_refund_policy
"I have no shipping address, I need help setting it up",SHIPPING,set_up_shipping_address
how do I delete my profile?,ACCOUNT,delete_account
can I switch to another profile?,ACCOUNT,switch_account
how can I set up my shipping addess?,SHIPPING,set_up_shipping_address
can you tell me how I can download a bill?,INVOICES,get_invoice
I'm having issuea when trying to sign up,ACCOUNT,registration_problems
could u ask Alexa how I can modify my fucking purchase?,ORDER,change_order
"the event was cancelled, how do I get a reimbursement?",REFUNDS,get_refund
"ask alexa where i could check the options for delivery , please",DELIVERY,delivery_options
I've got no online account and I want to open one,ACCOUNT,create_account
"i have a question, can i contact customer service?",CONTACT,contact_customer_service
I want to know how I can see a bill,INVOICES,get_invoice
"I didn't receive my bills, can you show them?",INVOICES,check_invoices
I want to know where I can modify my purchase,ORDER,change_order
"I haven't got an online account, how do I create one?",ACCOUNT,create_account
can you tell me if I get a full refund in case I cancel my ticket?,REFUNDS,check_refund_policy
"your not helping, I need help contacting a human agent",CONTACT,contact_human_agent
"please, can u ask alexa to find information about the fucking options for delivery?",DELIVERY,delivery_options
"I don't want my account, how can I close it?",ACCOUNT,delete_account
"I can't find my bill, help me check it",INVOICES,check_invoices
where to inform of payment issues,PAYMENT,payment_issue
"I don't have an online account, help me create one",ACCOUNT,create_account
how do I write an opinion for a service?,FEEDBACK,review
"i dont understand you and id like to talk to a person, please",CONTACT,contact_human_agent
"please, could you ask Alexa to reset my password?",ACCOUNT,recover_password
can you ask Alexa if I could notify fucking payment issues?,PAYMENT,payment_issue
i want to know how to nodify my order,ORDER,change_order
"i want information, what should i do to contact customer support?",CONTACT,contact_customer_service
"i dont want my user account, what should i do to close it?",ACCOUNT,delete_account
"I bought something, I need help changing my order",ORDER,change_order
"i want to solve a problem with my payment, can u help me?",PAYMENT,payment_issue
"I want to make changes to the information on my profile, how can I do it?",ACCOUNT,edit_account
"I want information, I need help speaking with Customer Support",CONTACT,contact_customer_service
"can you ask Alexa how I can check the fucking cancellation penalties, please?",CANCELLATION_FEE,check_cancellation_fee
"I got an error when I tried to pay, but my card was charged anyway, what can I do?",PAYMENT,payment_issue
i havent got an account and i wanna create one,ACCOUNT,create_account
I need help creating a user account,ACCOUNT,create_account
"the game was postponed, could I obtain a fucking refund, pleased?",REFUNDS,get_refund
"i can't find my bills, what do i have to do to view them?",INVOICES,check_invoices
"please, ask alexa how i can report issues with my payment",PAYMENT,payment_issue
"I have a problem when trying to pay for my order, what do I have to do to inform of it?",PAYMENT,payment_issue
"an error message pops when I attempt to make a payment for my online order , can you help me?",PAYMENT,payment_issue
"i cant understand you, what should i do to talk to a person?",CONTACT,contact_human_agent
i wanna know if I can obtain a bill,INVOICES,get_invoice
ask alexa if i can solve payment issues,PAYMENT,payment_issue
"you're not helping, help me speak with a human",CONTACT,contact_human_agent
can I solve a problem paying?,PAYMENT,payment_issue
"i cant understand you, how can i talk to someone?",CONTACT,contact_human_agent
tell me if I can create several online accountswith a single email address,ACCOUNT,create_account
"could u ask alexa how to notify a payment problem, please?",PAYMENT,payment_issue
I want to request information about requesting an invoice,INVOICES,get_invoice
how could I inform of a problem making a payment?,PAYMENT,payment_issue
can you ask alexa how I could obtain some bills?,INVOICES,get_invoice
ask alexa if i can delete my user account,ACCOUNT,delete_account
can u ask Alexa for information about modifying my order?,ORDER,change_order
"I want to obtain a bill, can you tell me how I can do it?",INVOICES,get_invoice
ask alexa if my package is out for delivery,ORDER,track_order
i have a problem when trying to pay for my online order and i want to report it,PAYMENT,payment_issue
"I want to check my order, can you tell me where I can do it?",ORDER,track_order
"I don't like the service, what should I do to file a consumer complaint?",FEEDBACK,complaint
could you ask Alexa where to inform of fucking problems with my payment?,PAYMENT,payment_issue
I didn't receive my bipl and I want to view kt,INVOICES,check_invoices
"I want to see an invoice, tell me how to do it",INVOICES,get_invoice
i made a mistake nad i wanna change my purchase,ORDER,change_order
"could u ask alexa if i can report fucking problems paying, please?",PAYMENT,payment_issue
I want to know how I can request some invoices,INVOICES,get_invoice
the concert was cancelled and I want to request a reimbursement,REFUNDS,get_refund
I want to know if I can modify my purchase,ORDER,change_order
"I have a problem making a payment, how do I report it?",PAYMENT,payment_issue
I need help switching to another account,ACCOUNT,switch_account
"I can't remember my account password, can I recover it?",ACCOUNT,recover_password
can you give me information about your money back guarantee?,REFUNDS,check_refund_policy
"I waant to inform of a problem with my payment, cqn you help me?",PAYMENT,payment_issue
"i have an issue paying, how do i report it?",PAYMENT,payment_issue
"i cant understand you, can i contact a person?",CONTACT,contact_human_agent
"could you ask Alexa how to change the information on my fucking profile, please?",ACCOUNT,edit_account
"I need information, how do I talk to Customer Service?",CONTACT,contact_customer_service
"I want to see the status of my reimbursement, what can I do?",REFUNDS,track_refund
"I'd like information, help me call fucking Client Service",CONTACT,contact_customer_service
"my account was hacked, can u help me?",ACCOUNT,recover_password
"please, ask alexa how i could speak with a human",CONTACT,contact_human_agent
"you aren't helping, how can I talk to a human?",CONTACT,contact_human_agent
I want to obtain a refund,REFUNDS,get_refund
"can you tell me if i can create two fucking online accounts with a single email address, please?",ACCOUNT,create_account
how to lodge a complaint,FEEDBACK,complaint
can u show me the number of client service?,CONTACT,contact_customer_service
the game was cancelled and i want to obtain a refund,REFUNDS,get_refund
can you tell me what the free number to contact Customer Service is?,CONTACT,contact_customer_service
"i have an issue making a payment with card, can u inform of it?",PAYMENT,payment_issue
can you ell me if I can register two user accounts with the same email?,ACCOUNT,create_account
i need information about the status of my order,ORDER,track_order
"I'd like to close my fucking online account, where can I d it?",ACCOUNT,delete_account
"I haven't got an online account, create one",ACCOUNT,create_account
what are the hours of Client Service?,CONTACT,contact_customer_service
tell me where I can track my delivery,ORDER,track_order
is it possible to obtain an invoice?,INVOICES,get_invoice
i wanna make a change in my purchase,ORDER,change_order
"i wanna notify an issue with my payment, what should i do?",PAYMENT,payment_issue
"i bought a product, help me change my order",ORDER,change_order
how to see my bill,INVOICES,check_invoices
"I want a profile, what can I do to create one?",ACCOUNT,create_account
"I have a problem when trying to pay with card, how can I report it?",PAYMENT,payment_issue
where can I see a bill?,INVOICES,get_invoice
can u ask alexa for information about requesting some invoices?,INVOICES,get_invoice
"I got an error message when I tried to make a payment, but I was charged anyway, can I inform of it?",PAYMENT,payment_issue
i need help calling customer support,CONTACT,contact_customer_service
"I got an error when I atetmpted to pay, but my card was charged anyway, can you inform of it?",PAYMENT,payment_issue
I bought an item and I want to change my order,ORDER,change_order
can u ask alexa what the number to contact Customer Service is?,CONTACT,contact_customer_service
can you tell me about the delivery period?,DELIVERY,delivery_period
"I don't understand you, help me contact a person",CONTACT,contact_human_agent
can you tell me if there's a newsletter to stay informed?,NEWSLETTER,newsletter_subscription
"I have a question, helpo me contact Client Service",CONTACT,contact_customer_service
"I want to use my other online account, what do I have to do to change them?",ACCOUNT,switch_account
I don't know anything about your rfund policy and I want information about it,REFUNDS,check_refund_policy
how can I view the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
i need help viewing my invoice,INVOICES,check_invoices
where to check the status of my order,ORDER,track_order
can I remove my account?,ACCOUNT,delete_account
"I want to lodge an opinion, can you help me?",FEEDBACK,review
"I ordered something , how can I change my order?",ORDER,change_order
"I want to check your reimbursement policy, what should I do ?",REFUNDS,check_refund_policy
where do I subscribe to the newsletter?,NEWSLETTER,newsletter_subscription
"I don't have an online account, can you open one?",ACCOUNT,create_account
can I have more than one online account?,ACCOUNT,create_account
how can i check my invoices?,INVOICES,check_invoices
how can I get an bill?,INVOICES,get_invoice
I want to know if i can see a bill,INVOICES,get_invoice
"I want a refund, what should I do to obtain one?",REFUNDS,get_refund
"I'm discontent with the service, submit a consumer complaint",FEEDBACK,complaint
I need help checking the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
"I can't understand you, can you speak with a person?",CONTACT,contact_human_agent
I wanna know if my packages are out for delivery,ORDER,track_order
"I want to see a bill, can you give me some information?",INVOICES,get_invoice
see an invoice,INVOICES,get_invoice
"i wanna check my delivery, tell me how I can do it",ORDER,track_order
"i have no account, what should i do to open one?",ACCOUNT,create_account
"I want to get an invoice, can you give me some information?",INVOICES,get_invoice
I don't have an account,ACCOUNT,create_account
"I want an account, how do I create one?",ACCOUNT,create_account
"I have a question, how do I talk to Client Service?",CONTACT,contact_customer_service
"I lost my invoice , view it",INVOICES,check_invoices
"I made a mistake, change my order",ORDER,change_order
"I lots my password, can I recover it?",ACCOUNT,recover_password
"i have an issue paying, i need help informing of it",PAYMENT,payment_issue
"i wanna lodge a complaint for a service, what can i do?",FEEDBACK,complaint
show me the mail address  of the Customer Support,CONTACT,contact_customer_service
can you tell me where I cantrack my package?,ORDER,track_order
"I want to inform of an issue making a payment, can you help me?",PAYMENT,payment_issue
how do i see my bills?,INVOICES,check_invoices
track my orders,ORDER,track_order
"I don't understand you, can I talk to a human?",CONTACT,contact_human_agent
can you show me information about the email address of the Client Service?,CONTACT,contact_customer_service
"I changed my mind, can I remove my account?",ACCOUNT,delete_account
"I purchased an item, I need help modifying my purchase",ORDER,change_order
could u ask alexa how i could notify payment problems?,PAYMENT,payment_issue
"i want to recover my password, what can i do?",ACCOUNT,recover_password
I want to know if i can check my delivery,ORDER,track_order
"the concert was cancelled , what swhould I do?",REFUNDS,get_refund
"i wanna know the status of my reimbursement, i need help tracking it",REFUNDS,track_refund
I want to know where to check my delivery,ORDER,track_order
id like to track my reimbursement,REFUNDS,track_refund
information about requesting some bills,INVOICES,get_invoice
where can I leave a review?,FEEDBACK,review
I want to know what the email of Customer Service is,CONTACT,contact_customer_service
I wanna download a bill,INVOICES,get_invoice
"I got an error when I tried to pay, but my card was charged anyway, help me notify it",PAYMENT,payment_issue
u are not helping and i want to speak with someone,CONTACT,contact_human_agent
tell me where I can gt an invoice,INVOICES,get_invoice
"I have an issue paying with card, help me inform of it",PAYMENT,payment_issue
tell me what the number of Customer Service is,CONTACT,contact_customer_service
i want to know if i could create two profiles with the same email address,ACCOUNT,create_account
the event was postponed and i wanna get a reimbursement,REFUNDS,get_refund
"I want to cancel my online account, how can I do it?",ACCOUNT,delete_account
"I changed my mind, can I remove my profile?",ACCOUNT,delete_account
contact Customer Service,CONTACT,contact_customer_service
"I got an error message when I tried to make a payment, but I was charged anyway, inform of it",PAYMENT,payment_issue
"i wannacheck cancellation fees, what should i do ?",CANCELLATION_FEE,check_cancellation_fee
"i dont understand you, could u contact someone, please?",CONTACT,contact_human_agent
how do I reset my password?,ACCOUNT,recover_password
"i have a problem paying, what can i do?",PAYMENT,payment_issue
can u ask alexa if fucking customer service is available?,CONTACT,contact_customer_service
how do I leave an opinion?,FEEDBACK,review
"the concert was cancelled, what can I do to obtain a refund?",REFUNDS,get_refund
I want to report issues with my payment,PAYMENT,payment_issue
I want to know if there's a newsletter to keep me informed,NEWSLETTER,newsletter_subscription
i want to see your payment options,PAYMENT,check_payment_methods
"I'm not happy with the service, submit a consumer complaint",FEEDBACK,complaint
"i wanna request a bill, tell me where to do it",INVOICES,get_invoice
I want to know where I can track my deliveries,ORDER,track_order
"the game was cancelled, how can i get a refund?",REFUNDS,get_refund
show me the delivery period,DELIVERY,delivery_period
help me file a complaint for a service,FEEDBACK,complaint
I need  help speaking with Customer Service,CONTACT,contact_customer_service
i cant remember my password and i wanna retrieve it,ACCOUNT,recover_password
"i wanna make a review, what can i do?",FEEDBACK,review
"I need a user account, create one",ACCOUNT,create_account
"I want an online account, help me create one",ACCOUNT,create_account
"please, could you ask Alexa if I can notify problems making a payment?",PAYMENT,payment_issue
"i didn't receive my invoice, how can i see it?",INVOICES,check_invoices
"I want to check the status of my purchase, what do I have to do?",ORDER,track_order
can u ask alexa how i can retrieve my account password?,ACCOUNT,recover_password
"I don't want my user account, what can I do to remove it?",ACCOUNT,delete_account
"I want information, can I call Client Service?",CONTACT,contact_customer_service
where can i set up my shipping address?,SHIPPING,set_up_shipping_address
"an error pops when i try to make a payment with card, what can i do?",PAYMENT,payment_issue
"you aren't helping, what do I have to do to talk to a human agent?",CONTACT,contact_human_agent
can u ask alexa if i can view the cancellation penalty?,CANCELLATION_FEE,check_cancellation_fee
could u ask alexa how i could inform of a fucking payment problem?,PAYMENT,payment_issue
i wanna solve a payment issue,PAYMENT,payment_issue
"please, ask Alexa if I can notify a payment problem",PAYMENT,payment_issue
"I have an issue when trying to pay for my order, how can I notify it?",PAYMENT,payment_issue
"an error message pops when i try to make a payment for my order, what can i do?",PAYMENT,payment_issue
"an error pops when I attempt to make a payment for my order, what can I do?",PAYMENT,payment_issue
tell me how I can track my orders,ORDER,track_order
the game was cancelled and I want to request a reimbursement,REFUNDS,get_refund
how do I inform of an issue paying?,PAYMENT,payment_issue
show me your paymebt methods,PAYMENT,check_payment_methods
"I want to check the options for ticket delivery, what can I do?",DELIVERY,delivery_options
"I'm happy with the service, lpdge an opinion",FEEDBACK,review
"you aren't helping, can you talk to a human?",CONTACT,contact_human_agent
"I want to file an complaint, what can I do?",FEEDBACK,complaint
ask Alexa if i can track my package,ORDER,track_order
I have a problem making a payment with card,PAYMENT,payment_issue
"please, i want to know how to modify my purchase",ORDER,change_order
where can I report issues with my payment?,PAYMENT,payment_issue
